model_id cre_line level_of_detail location ei tau reporter_status delta_ymax delta_ymin morphology electrophysiology rotation_angle_zaxis pia_distance
313861608 Pvalb biophysical VisL5 inhibitory 0.0370803953946 positive 185.826062121 -318.797075515 Pvalb-IRES-Cre_Ai14-165874.04.02.01_491119570_m.swc 313861608_fit.json 0.079754597 698.0708237
313862022 Scnn1a biophysical VisL4 excitatory 0.00560327470118 positive 479.011931562 -117.636079967 Scnn1a-Tg2-Cre_Ai14_IVSCC_-167081.03.02.01_397905347_m.swc 313862022_fit.json -2.623578154 492.1002752
313862167 Sst biophysical VisL4 inhibitory 0.0367475818874 positive 322.711370029 -136.26497817 Sst-IRES-Cre_Ai14-167638.05.02.01_501934125_m.swc 313862167_fit.json -2.081338701 407.7187568
313862306 Sst biophysical VisL6a inhibitory 0.0466765022518 positive 94.7226250443 -258.973825617 Sst-IRES-Cre_Ai14-167636.04.01.01_491119515_m.swc 313862306_fit.json -3.852448854 814.1068781
314642645 Rorb biophysical VisL4 excitatory 0.0346426711127 positive 414.941989891 -94.6923877782 Rorb-IRES2-Cre-D_Ai14-168052.03.02.01_491770140_m.swc 314642645_fit.json -4.082581603 372.685943
314804042 Rorb biophysical VisL5 excitatory 0.0273454659432 positive 418.637259757 -73.6077874988 Rorb-IRES2-Cre-D_Ai14-168053.05.01.01_491392788_m.swc 314804042_fit.json -4.159763785 492.3543309
314822529 Rorb biophysical VisL5 excitatory 0.0138889310719 positive 697.845309916 -192.998184783 Rorb-IRES2-Cre-D_Ai14-168053.06.01.01_495334938_m.swc 314822529_fit.json -1.236645673 729.838719
314831019 Scnn1a biophysical VisL5 excitatory 0.0407764841666 positive 523.325149714 -95.1534935836 Scnn1a-Tg3-Cre_Ai14-168093.03.02.01_491119592_m.swc 314831019_fit.json 0.476525684 512.4715484
314900022 Scnn1a biophysical VisL4 excitatory 0.0284336788404 positive 400.964363732 -74.9869084048 Scnn1a-Tg3-Cre_Ai14-168093.03.01.01_491770152_m.swc 314900022_fit.json -3.520504951 415.7992937
318331342 Pvalb biophysical VisL4 inhibitory 0.0192571483251 positive 172.545638548 -76.2309689152 Pvalb-IRES-Cre_Ai14-169125.03.01.01_491119617_m.swc 318331342_fit.json -3.684439949 594.4673025
318733871 Nr5a1 biophysical VisL4 excitatory 0.0119570105495 positive 263.704311601 -77.7632407144 Nr5a1-Cre_Ai14-169248.04.02.01_491253825_m.swc 318733871_fit.json -2.300515235 401.431631
318808427 Nr5a1 biophysical VisL4 excitatory 0.0143056658826 positive 330.762030708 -95.417301535 Nr5a1-Cre_Ai14-169250.03.02.01_491119754_m.swc 318808427_fit.json -2.639275277 374.4886248
320207387 Scnn1a biophysical VisL5 excitatory 0.0126507580381 positive 532.293922294 -125.009258967 Scnn1a-Tg3-Cre_Ai14-170426.03.01.01_491392845_m.swc 320207387_fit.json -3.774976291 508.6168213
320668879 Scnn1a biophysical VisL4 excitatory 0.0274459447999 positive 458.664402308 -130.524170993 Scnn1a-Tg2-Cre_Ai14-171062.06.02.01_491119500_m.swc 320668879_fit.json 1.309805864 497.0567343
321023397 Pvalb biophysical VisL5 inhibitory 0.0232701393023 positive 104.0588818 -202.588769928 Pvalb-IRES-Cre_Ai14-171555.06.01.01_496722847_m.swc 321023397_fit.json -1.015083755 631.6520168
321708130 Pvalb biophysical VisL6a inhibitory 0.0277739866653 positive 309.418749072 -233.687234619 Pvalb-IRES-Cre_Ai14-172101.05.02.01_491119710_m.swc 321708130_fit.json -2.893207231 816.0585721
321906005 Nr5a1 biophysical VisL4 excitatory 0.0388271666414 positive 319.16879856 -82.1035284571 Nr5a1-Cre_Ai14-172512.05.01.01_495334973_m.swc 321906005_fit.json -2.505758603 503.1940993
321923685 Nr5a1 biophysical VisL4 inhibitory 0.0261297021267 positive 131.320129023 -196.708975074 Nr5a1-Cre_Ai14-172512.06.02.01_491120144_m.swc 321923685_fit.json -1.904019609 420.4669499
323452196 Sst biophysical VisL6a inhibitory 0.0203370849716 positive 248.76595249 -136.955482985 Sst-IRES-Cre_Ai14-172534.04.02.01_513556739_m.swc 323452196_fit.json -2.310690909 990.8918948
323475862 Sst biophysical VisL5 inhibitory 0.0224929029537 positive 127.976933608 -99.4128375925 Sst-IRES-Cre_Ai14-172534.06.01.01_491770330_m.swc 323475862_fit.json -0.577573514 607.2395601
323540736 Gad2 biophysical VisL5 inhibitory 0.0125850991183 positive 152.837224433 -177.067402734 Gad2-IRES-Cre_Ai14-172679.05.01.01_491119788_m.swc 323540736_fit.json -4.18806093 504.4533323
