model_id level_of_detail electrophysiology
100000101 intfire e5Rbp4_avg_lif.json
100000102 intfire e23Cux2_avg_lif.json
100000103 intfire e4Scnn1a_avg_lif.json
100000104 intfire i23Pvalb_avg_lif.json
100000105 intfire i23Htr3a_avg_lif.json
100000106 intfire i6aPvalb_avg_lif.json
100000107 intfire i23Sst_avg_lif.json
100000108 intfire i5Htr3a_avg_lif.json
100000109 intfire i6aHtr3a_avg_lif.json
100000110 intfire i5Pvalb_avg_lif.json
100000111 intfire i6aSst_avg_lif.json
100000112 intfire i4Pvalb_avg_lif.json
100000113 intfire e4Rorb_avg_lif.json
100000114 intfire i4Htr3a_avg_lif.json
100000115 intfire e4other_avg_lif.json
100000116 intfire i4Sst_avg_lif.json
100000117 intfire e4Nr5a1_avg_lif.json
100000118 intfire e6aNtsr1_avg_lif.json
100000119 intfire i5Sst_avg_lif.json
100000120 intfire e5noRbp4_avg_lif.json
