channel x_pos y_pos z_pos
0 0.0 -25.0 0.0
1 0.0 -50.0 0.0
2 0.0 -75.0 0.0
3 0.0 -100.0 0.0
4 0.0 -125.0 0.0
5 0.0 -150.0 0.0
6 0.0 -175.0 0.0
7 0.0 -200.0 0.0
8 0.0 -225.0 0.0
9 0.0 -250.0 0.0
10 0.0 -275.0 0.0
11 0.0 -300.0 0.0
12 0.0 -325.0 0.0
13 0.0 -350.0 0.0
14 0.0 -375.0 0.0
15 0.0 -400.0 0.0
16 0.0 -425.0 0.0
17 0.0 -450.0 0.0
18 0.0 -475.0 0.0
19 0.0 -500.0 0.0
20 0.0 -525.0 0.0
21 0.0 -550.0 0.0
22 0.0 -575.0 0.0
23 0.0 -600.0 0.0
24 0.0 -625.0 0.0
25 0.0 -650.0 0.0
26 0.0 -675.0 0.0
27 0.0 -700.0 0.0
28 0.0 -725.0 0.0
29 0.0 -750.0 0.0
30 0.0 -775.0 0.0
31 0.0 -800.0 0.0
32 0.0 -825.0 0.0
33 0.0 -850.0 0.0
