node_type_id model_type morphology dynamics_params rotation_angle_zaxis population pop_name location ei model_processing model_template
313861608 biophysical Pvalb-IRES-Cre_Ai14-165874.04.02.01_491119570_m.swc 313861608_fit.json 0.079754597 v1 i5Pvalb VisL5 i aibs_perisomatic ctdb:Biophys1.hoc
313862022 biophysical Scnn1a-Tg2-Cre_Ai14_IVSCC_-167081.03.02.01_397905347_m.swc 313862022_fit.json -2.623578154 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
313862167 biophysical Sst-IRES-Cre_Ai14-167638.05.02.01_501934125_m.swc 313862167_fit.json -2.081338701 v1 i4Sst VisL4 i aibs_perisomatic ctdb:Biophys1.hoc
313862306 biophysical Sst-IRES-Cre_Ai14-167636.04.01.01_491119515_m.swc 313862306_fit.json -3.852448854 v1 i6Sst VisL6 i aibs_perisomatic ctdb:Biophys1.hoc
314642645 biophysical Rorb-IRES2-Cre-D_Ai14-168052.03.02.01_491770140_m.swc 314642645_fit.json -4.082581603 v1 e4Rorb VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
314804042 biophysical Rorb-IRES2-Cre-D_Ai14-168053.05.01.01_491392788_m.swc 314804042_fit.json -4.159763785 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
314822529 biophysical Rorb-IRES2-Cre-D_Ai14-168053.06.01.01_495334938_m.swc 314822529_fit.json -1.236645673 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
314831019 biophysical Scnn1a-Tg3-Cre_Ai14-168093.03.02.01_491119592_m.swc 314831019_fit.json 0.476525684 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
314900022 biophysical Scnn1a-Tg3-Cre_Ai14-168093.03.01.01_491770152_m.swc 314900022_fit.json -3.5205049510000004 v1 e4Scnn1a VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
318331342 biophysical Pvalb-IRES-Cre_Ai14-169125.03.01.01_491119617_m.swc 318331342_fit.json -3.6844399489999997 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
318733871 biophysical Nr5a1-Cre_Ai14-169248.04.02.01_491253825_m.swc 318733871_fit.json -2.300515235 v1 e4Nr5a1 VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
318808427 biophysical Nr5a1-Cre_Ai14-169250.03.02.01_491119754_m.swc 318808427_fit.json -2.639275277 v1 e4Nr5a1 VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
320207387 biophysical Scnn1a-Tg3-Cre_Ai14-170426.03.01.01_491392845_m.swc 320207387_fit.json -3.774976291 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
320668879 biophysical Scnn1a-Tg2-Cre_Ai14-171062.06.02.01_491119500_m.swc 320668879_fit.json 1.309805864 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
321023397 biophysical Pvalb-IRES-Cre_Ai14-171555.06.01.01_496722847_m.swc 321023397_fit.json -1.015083755 v1 i5Pvalb VisL5 i aibs_perisomatic ctdb:Biophys1.hoc
321708130 biophysical Pvalb-IRES-Cre_Ai14-172101.05.02.01_491119710_m.swc 321708130_fit.json -2.8932072310000003 v1 i6Pvalb VisL6 i aibs_perisomatic ctdb:Biophys1.hoc
321906005 biophysical Nr5a1-Cre_Ai14-172512.05.01.01_495334973_m.swc 321906005_fit.json -2.5057586030000003 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
321923685 biophysical Nr5a1-Cre_Ai14-172512.06.02.01_491120144_m.swc 321923685_fit.json -1.9040196090000001 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
323452196 biophysical Sst-IRES-Cre_Ai14-172534.04.02.01_513556739_m.swc 323452196_fit.json -2.310690909 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
323475862 biophysical Sst-IRES-Cre_Ai14-172534.06.01.01_491770330_m.swc 323475862_fit.json -0.577573514 v1 i5Sst VisL5 i aibs_perisomatic ctdb:Biophys1.hoc
323540736 biophysical Gad2-IRES-Cre_Ai14-172679.05.01.01_491119788_m.swc 323540736_fit.json -4.18806093 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
323834998 biophysical Scnn1a-Tg3-Cre_Ai14-172530.03.01.01_491771137_m.swc 323834998_fit.json -1.985705715 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
323865917 biophysical Scnn1a-Tg3-Cre_Ai14-172530.06.01.01_492413272_m.swc 323865917_fit.json -3.159375068 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
324025297 biophysical Rorb-IRES2-Cre-D_Ai14-172651.04.01.01_491458287_m.swc 324025297_fit.json 1.501937738 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
324025371 biophysical Rorb-IRES2-Cre-D_Ai14-172651.01.01.01_491770168_m.swc 324025371_fit.json -3.801429899 v1 e4Rorb VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
324266189 biophysical Sst-IRES-Cre_Ai14-173191.06.02.01_491119812_m.swc 324266189_fit.json -2.7017130380000003 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
324466858 biophysical Sst-IRES-Cre_Ai14-173196.03.02.01_491458442_m.swc 324466858_fit.json -2.790870716 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
324493977 biophysical Sst-IRES-Cre_Ai14-173196.03.01.01_491770223_m.swc 324493977_fit.json -3.6186222310000002 v1 i23Sst VisL23 i aibs_perisomatic ctdb:Biophys1.hoc
324521027 biophysical Scnn1a-Tg2-Cre_Ai14-173240.03.02.01_491770179_m.swc 324521027_fit.json -2.5269838 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
327962063 biophysical Htr3a-Cre_NO152_Ai14-175482.03.02.01_491119419_m.swc 327962063_fit.json -3.531398005 v1 i23Htr3a VisL23 i aibs_perisomatic ctdb:Biophys1.hoc
329550137 biophysical Rorb-IRES2-Cre-D_Ai14-176684.04.01.01_491771001_m.swc 329550137_fit.json -2.1965884669999998 v1 e4Rorb VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
330080937 biophysical Pvalb-IRES-Cre_Ai14-176847.04.02.01_491120133_m.swc 330080937_fit.json -2.539551891 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
333604946 biophysical Pvalb-IRES-Cre_Ai14-176848.03.01.01_491119484_m.swc 333604946_fit.json -3.975017803 v1 i4Pvalb VisL4 i aibs_perisomatic ctdb:Biophys1.hoc
333785962 biophysical Pvalb-IRES-Cre_Ai14-176852.05.02.01_513557613_m.swc 333785962_fit.json -2.336541883 v1 i5Pvalb VisL5 i aibs_perisomatic ctdb:Biophys1.hoc
